product_id,name,description,image,old_amount,amount,discount,status,created_at,updated_at
1,Improved Slim waist Band 3.0,Slim Waist Band 3.0,Rm6pYLeHmBN6.png,16000.00,17500.00,15500,1,2020-09-17 11:27:10,2020-09-17 11:27:10
2,Improved Ruby 3.0,Improved Ruby 3.0,AyCPhiWsqLjp.png,20000.00,22500.00,18000,1,2020-09-17 11:30:44,2020-09-17 11:30:44
3,Dual Detachable Belly Eraser,Dual Detachable Belly Eraser,IprKbkVT3S7J.jpg,25000.00,25000.00,22500,1,2020-09-17 11:34:04,2020-09-17 11:34:04
4,Getfit Improved Waist Trimmer 3.0,Getfit Improved Waist Trimmer 3.0,8hVYy9VWIu1H.png,14000.00,15500.00,12400,1,2020-09-17 11:38:43,2020-09-17 11:38:43
5,GFIT 1 Fitness Watch,GFIT 1 Fitness Watch,c4afvZlSysYD.png,18000.00,18000.00,16000,1,2020-09-17 11:45:45,2020-09-17 11:45:45
6,GFIT 3 Smart Watch,GFIT 3 Smart Watch,6iVQki2YBoQe.png,23000.00,23000.00,20000,1,2020-09-17 11:47:01,2020-09-17 11:47:01
7,Getfit Arm Trimmer,Getfit Arm Trimmer,5zOTWvp7pWvY.jpg,6500.00,7500.00,7000,1,2020-09-17 11:48:52,2020-09-17 11:48:52
8,Fitness Watch Strap,Fitness Watch Strap,2K4a9ILBi7W7.png,3500.00,3500.00,0.00,1,2020-09-17 11:51:06,2020-09-17 11:51:06
9,Smart Watch Strap,Smart Watch Strap,wm5fpeWhrpDH.png,4000.00,4000.00,0.00,1,2020-09-17 11:52:06,2020-09-17 11:52:06
10,Lingerie,Lingerie,ltSxkIjdFJbT.jpg,0.00,11000.00,0.00,1,2021-02-10 19:03:39,2021-02-10 19:03:39
11,3 Strap Ruby,Ruby with 3 Straps,Ugg5EU0AMMWS.jpg,0.00,27500.00,25500,1,2021-02-11 10:24:34,2021-02-11 10:24:34
15,Body Shaper,Body Shaper,qe5r0k33gEYb.jpg,0.00,25000.00,20000,1,2021-02-11 12:33:49,2021-02-11 12:33:49
16,Belly Fat Breaker,Belly Fat Breaker,xmayzuZHyIA0.jpg,0.00,6000.00,5000,1,2021-02-11 17:15:58,2021-02-11 17:15:58
17,Sauna Belly Wrap,Belly Fat Film,2kTjbEEPZZYK.jpg,0.00,3000.00,0.00,1,2021-02-11 17:19:12,2021-02-11 17:19:12
18,Apple Cider Gummies,Apple Cider Gummies,23u5lIRZriJC.jpg,0.00,15200.00,12200,1,2021-02-12 14:04:01,2021-02-12 14:04:01
19,GetFit Meal Plan,GetFit meal plan,uGgwAc5cFC60.png,0.00,20000.00,10000,1,2021-03-22 17:14:37,2021-03-22 17:14:37
20,Butty Band Heavy,Butty Band Heavy,PvbLGVCNGnHm.jpeg,0.00,6500.00,3700,1,2021-04-13 09:37:43,2021-04-13 09:37:43
21,Butty Band Medium,Butty Band Medium,Wf1heG2sOtg5.jpeg,0.00,5500.00,3700,1,2021-04-13 09:39:55,2021-04-13 09:39:55
22,Butty Band Light,Butty Band Light,WPoAwmixS0Bj.jpeg,0.00,5500.00,3700,1,2021-04-13 09:40:54,2021-04-13 09:40:54
23,Sweat Stick,Sweat Stick,QYfDeVfhitlb.jpeg,0.00,6500.00,6000,1,2021-04-14 14:51:24,2021-04-14 14:51:24
24,Teeth whitening kit,Teeth whitening kit,reP9KaGeQbYM.jpeg,0.00,27000.00,22000,1,2021-04-26 02:21:06,2021-04-26 02:21:06
25,Teeth whitening mouth piece replacement,Teeth whitening mouth piece replacement,2uz2UAfjEFu6.jpeg,0.00,5000.00,0.00,1,2021-04-26 02:22:39,2021-04-26 02:22:39
26,Extra Pen 1,Extra Pen 1,tHume8CtEX08.jpeg,0.00,5000.00,0.00,1,2021-04-26 02:25:13,2021-04-26 02:25:13
27,Extra pen 3 pieces combo,Extra pen 3 pieces combo,yQmlwVgY4WzW.jpeg,0.00,5000.00,0.00,1,2021-04-26 02:26:21,2021-04-26 02:26:21
28,Hair gummies,Hair gummies,2BibQiGauLTo.jpeg,0.00,12500.00,10000,1,2021-04-26 02:27:13,2021-04-26 02:27:13